"city","county","lat","lng"
"Deal","Kent","51.22322","1.40432"
"Aberdeen","Aberdeenshire","57.14369","-2.09814"
"Inverness","Highlands","57.47908","-4.22398"
"Hamilton","Strathclyde","55.76667","-4.03333"
"Biggleswade","Bedfordshire","52.08652","-0.26493"
"Bedford","Bedfordshire","52.13459","-0.46632"
"Flitwick","Bedfordshire","52.00338","-0.49472"
"Dunstable","Bedfordshire","51.88571","-0.52288"
"Shefford","Bedfordshire","52.0387","-0.33399"
"Luton","Bedfordshire","51.87967","-0.41748"
"Sandy","Bedfordshire","52.12927","-0.28925"
"Wixams","Bedfordshire","52.0879","-0.4738"
"Ascot","Berkshire","51.41082","-0.6748"
"Lambourn","Berkshire","51.50805","-1.53105"
"Eton","Berkshire","51.48833","-0.60905"
"Sandhurst","Berkshire","51.34675","-0.78655"
"Newbury","Berkshire","51.40148","-1.32471"
"Reading","Berkshire","51.45625","-0.97113"
"Maidenhead","Berkshire","51.52279","-0.71986"
"Thatcham","Berkshire","51.40366","-1.26049"
"Wokingham","Berkshire","51.4112","-0.83565"
"Bristol","Bristol","51.45523","-2.59665"
"Windsor","Berkshire","51.48333","-0.6"
"Bletchley","Buckinghamshire","51.99334","-0.73471"
"Amersham","Buckinghamshire","51.66667","-0.61667"
"Aylesbury","Buckinghamshire","51.81665","-0.81458"
"Beaconsfield","Buckinghamshire","51.61219","-0.64732"
"Buckingham","Buckinghamshire","51.99968","-0.98779"
"Chesham","Buckinghamshire","51.7","-0.6"
"Milton Keynes","Buckinghamshire","52.04172","-0.75583"
"Cambridge","Cambridgeshire","52.2","0.11667"
"Huntingdon","Cambridgeshire","52.33049","-0.18651"
"Ely","Cambridgeshire","52.39964","0.26196"
"Northstowe","Cambridgeshire","52.27","0.07"
"Soham","Cambridgeshire","52.33543","0.33654"
"Peterborough","Cambridgeshire","52.57364","-0.24777"
"March","Cambridgeshire","52.55131","0.08828"
"Whittlesey","Cambridgeshire","52.55804","-0.13016"
"St Ives","Cambridgeshire","50.20861","-5.4875"
"Birchwood","Cheshire","53.4157","-2.5304"
"Warrington","Cheshire","53.391667","-2.597222"
"Fowey","Cornwall","50.33634","-4.6386"
"Looe","Cornwall","50.35778","-4.45418"
"Padstow","Cornwall","50.53885","-4.93664"
"Par","Cornwall","50.35107","-4.70288"
"St Ives","Cornwall","50.20861","-5.4875"
"Truro","Cornwall","50.26526","-5.05436"
"Durham","County Durham","54.77676","-1.57566"
"Crook","County Durham","54.71252","-1.7497"
"Willington","County Durham","54.71","-1.69"
"Stanley","County Durham","54.867","-1.692"
"Carlisle","Cumbria","54.8951","-2.9382"
"Brampton","Cumbria","54.9409","-2.7329"
"Grange over Sands","Cumbria","54.19","-2.915"
"Windermere","Cumbria","54.38086","-2.90709"
"Bakewell","Derbyshire","53.21338","-1.67481"
"Derby","Derbyshire","52.92277","-1.47663"
"Melbourne","Derbyshire","52.823","-1.429"
"Dartmouth","Devon","50.3522","-3.5794"
"Exeter","Devon","50.7236","-3.52751"
"Lynton","Devon","51.22968","-3.84131"
"Ottery St Mary","Devon","50.75","-3.26667"
"Plymouth","Devon","50.37153","-4.14305"
"Seaton","Devon","52.57489","-0.66759"
"Tavistock","Devon","50.54944","-4.14418"
"Christchurch","Dorset","50.73583","-1.78129"
"Dorchester","Dorset","50.71667","-2.43333"
"Portland","Dorset","50.56748","-2.44472"
"Sherborne","Dorset","50.94599","-2.51776"
"Bridlington","East Riding of Yorkshire","54.08306","-0.19192"
"Wareham","Dorset","50.68792","-2.11058"
"Weymouth","Dorset","50.61448","-2.45991"
"Hessle","East Riding of Yorkshire","53.72454","-0.43842"
"Battle","East Sussex","50.91732","0.48417"
"Hove","East Sussex","50.83088","-0.1672"
"Rye","East Sussex","50.95114","0.7337"
"Basildon","Essex","51.56844","0.45782"
"Burnham on Crouch","Essex","51.6284","0.8145"
"Chelmsford","Essex","51.73575","0.46958"
"Epping","Essex","51.69815","0.11055"
"Halstead","Essex","51.94506","0.63927"
"Hadleigh","Essex","51.5535","0.6095"
"Harlow","Essex","51.77655","0.11158"
"Southend on Sea","Essex","51.53789","0.71377"
"Witham","Essex","51.80007","0.64038"
"Cheltenham","Gloucestershire","51.90006","-2.07972"
"Bradley Stoke","Gloucestershire","51.5293","-2.5456"
"Berkeley","Gloucestershire","51.69111","-2.45917"
"Cirencester","Gloucestershire","51.71927","-1.97145"
"Gloucester","Gloucestershire","51.86568","-2.2431"
"Kingswood","Gloucestershire","51.46","-2.505"
"Lydney","Gloucestershire","51.72598","-2.52605"
"Stroud","Gloucestershire","51.75","-2.2"
"Barking","Greater London","51.53333","0.08333"
"Acton","Greater London","51.513519","-0.270661"
"Winchcombe","Gloucestershire","51.95363","-1.96398"
"Barnes","Greater London","51.4741","-0.2352"
"Bexley","Greater London","51.44162","0.14866"
"Bromley","Greater London","51.40606","0.01519"
"Dagenham","Greater London","51.55","0.16667"
"Croydon","Greater London","51.38333","-0.1"
"Ealing","Greater London","51.51216","-0.30204"
"Edmonton","Greater London","51.6154","-0.0708"
"Enfield","Greater London","51.6516","-0.0837"
"Edgware","Greater London","51.6128","-0.27539"
"Harrow","Greater London","51.57835","-0.33208"
"Southall","Greater London","51.50896","-0.3713"
"Richmond","Greater London","51.456","-0.301"
"Southgate","Greater London","51.56944","-4.08972"
"Uxbridge","Greater London","51.5489","-0.48211"
"Tottenham","Greater London","51.605","-0.058"
"Wimbledon","Greater London","51.4235","-0.18171"
"Wembley","Greater London","51.55242","-0.29686"
"Willesden","Greater London","51.5468","-0.2295"
"Ashton in Makerfield","Greater Manchester","53.48333","-2.65"
"Bury","Greater Manchester","53.6","-2.3"
"Bolton","Greater Manchester","53.58333","-2.43333"
"Denton","Greater Manchester","53.4554","-2.1122"
"Manchester","Greater Manchester","53.48095","-2.23743"
"Leigh","Greater Manchester","53.4975","-2.515"
"Middleton","Greater Manchester","53.55","-2.2"
"Sale","Greater Manchester","53.42519","-2.32443"
"Salford","Greater Manchester","53.48771","-2.29042"
"Stockport","Greater Manchester","53.40979","-2.15761"
"Wigan","Greater Manchester","53.54296","-2.63706"
"Alton","Hampshire","51.14931","-0.97469"
"Eastleigh","Hampshire","50.96667","-1.35"
"Fleet","Hampshire","51.2834","-0.8456"
"Farnborough","Hampshire","51.29","-0.75"
"Lymington","Hampshire","50.75767","-1.5443"
"Portchester","Hampshire","50.842","-1.12"
"Portsmouth","Hampshire","50.79899","-1.09125"
"Southampton","Hampshire","50.90395","-1.40428"
"Winchester","Hampshire","51.06513","-1.3187"
"Ledbury","Herefordshire","52.03639","-2.42635"
"Hatfield","Herefordshire","52.231","-2.599"
"Hereford","Herefordshire","52.05684","-2.71482"
"Berkhamsted","Hertfordshire","51.7604","-0.56528"
"Baldock","Hertfordshire","51.98781","-0.18835"
"Barnet","Hertfordshire","51.65","-0.2"
"Ross on Wye","Herefordshire","51.91667","-2.56667"
"Borehamwood","Hertfordshire","51.65468","-0.27762"
"Buntingford","Hertfordshire","51.94612","-0.01841"
"Bushey","Hertfordshire","51.64316","-0.36053"
"Broxbourne","Hertfordshire","51.74712","-0.01923"
"Cheshunt","Hertfordshire","51.7002","-0.03026"
"Hatfield","Hertfordshire","51.762","-0.228"
"Elstree","Hertfordshire","51.6403","-0.29693"
"Harpenden","Hertfordshire","51.81684","-0.35706"
"Chorleywood","Hertfordshire","51.65472","-0.51404"
"Hertford","Hertfordshire","51.79588","-0.07854"
"Hemel Hempstead","Hertfordshire","51.75368","-0.44975"
"Hitchin","Hertfordshire","51.94924","-0.28496"
"Letchworth","Hertfordshire","51.97944","-0.2284"
"Hoddesdon","Hertfordshire","51.76148","-0.01144"
"Rickmansworth","Hertfordshire","51.63898","-0.47718"
"Potters Bar","Hertfordshire","51.69353","-0.17835"
"Sawbridgeworth","Hertfordshire","51.81667","0.15"
"Royston","Hertfordshire","52.0471","-0.0202"
"Stevenage","Hertfordshire","51.90224","-0.20256"
"Tring","Hertfordshire","51.79471","-0.65824"
"Ware","Hertfordshire","51.81058","-0.02875"
"Waltham Cross","Hertfordshire","51.68602","-0.03575"
"Welwyn Garden City","Hertfordshire","51.80174","-0.20691"
"Watford","Hertfordshire","51.65531","-0.39602"
"Newport","Isle of Wight","50.666667","-1.266667"
"Sandown","Isle of Wight","50.65158","-1.16103"
"Ashford","Kent","51.1465","0.8676"
"Cranbrook","Kent","51.09662","0.53567"
"Canterbury","Kent","51.27904","1.07992"
"Broadstairs","Kent","51.35908","1.43938"
"Dartford","Kent","51.44657","0.21423"
"Dover","Kent","51.12598","1.31257"
"Gravesend","Kent","51.44206","0.37106"
"Maidstone","Kent","51.26667","0.51667"
"Minster","Kent","51.421","0.809"
"Rochester","Kent","51.3883","0.4982"
"Sandwich","Kent","51.27223","1.33776"
"Sevenoaks","Kent","51.27266","0.18883"
"Tunbridge Wells","Kent","51.132","0.263"
"Burnley","Lancashire","53.8","-2.23333"
"Colne","Lancashire","53.85713","-2.16851"
"Kirkham","Lancashire","53.78244","-2.87189"
"Lancaster","Lancashire","54.04649","-2.79988"
"Nelson","Lancashire","53.8346","-2.218"
"Morecambe","Lancashire","54.06835","-2.86108"
"Preston","Lancashire","53.759","-2.699"
"Thornton","Lancashire","53.871","-3.004"
"Whitworth","Lancashire","53.65601","-2.1771"
"Leicester","Leicestershire","52.6386","-1.13169"
"Boston","Lincolnshire","52.97633","-0.02664"
"Broughton","Lincolnshire","53.5638","-0.5465"
"Grantham","Lincolnshire","52.91149","-0.64184"
"Grimsby","Lincolnshire","53.56539","-0.07553"
"Louth","Lincolnshire","53.36664","-0.00438"
"Lincoln","Lincolnshire","53.22683","-0.53792"
"Spalding","Lincolnshire","52.78709","-0.15141"
"Stamford","Lincolnshire","52.65","-0.48333"
"Crosby","Merseyside","53.47778","-3.03333"
"Huyton","Merseyside","53.4115","-2.83935"
"Halewood","Merseyside","53.3599","-2.84"
"Liverpool","Merseyside","53.41058","-2.97794"
"Diss","Norfolk","52.37675","1.1091"
"Dereham","Norfolk","52.681","0.94"
"Holt","Norfolk","52.9","1.09"
"Norwich","Norfolk","52.62783","1.29834"
"Loddon","Norfolk","52.5327","1.48183"
"Thetford","Norfolk","52.41667","0.75"
"Richmond","North Yorkshire","54.403","-1.737"
"Whitby","North Yorkshire","54.48774","-0.61498"
"Corby","Northamptonshire","52.49637","-0.68939"
"York","North Yorkshire","53.95763","-1.08271"
"Daventry","Northamptonshire","52.25688","-1.16066"
"Rothbury","Northumberland","55.31059","-1.90845"
"Arnold","Nottinghamshire","53","-1.13333"
"Beeston","Nottinghamshire","53.11667","-2.68333"
"Nottingham","Nottinghamshire","52.9536","-1.15047"
"Bicester","Oxfordshire","51.89998","-1.15357"
"Banbury","Oxfordshire","52.0632","-1.34222"
"Faringdon","Oxfordshire","51.65644","-1.58676"
"Dorchester","Oxfordshire","50.71667","-2.43333"
"Oxford","Oxfordshire","51.75222","-1.25596"
"Thame","Oxfordshire","51.7484","-0.97624"
"Wallingford","Oxfordshire","51.59982","-1.1248"
"Newport","Shropshire","52.7691","-2.3787"
"Wellington","Shropshire","52.7001","-2.5157"
"Telford","Shropshire","52.67659","-2.44926"
"Bath","Somerset","51.3751","-2.36172"
"Bridgwater","Somerset","51.12837","-3.00356"
"Bruton","Somerset","51.1125","-2.45278"
"Frome","Somerset","51.22834","-2.32211"
"Nailsea","Somerset","51.43239","-2.75847"
"Street","Somerset","51.12472","-2.74"
"Wells","Somerset","51.20794","-2.64896"
"Wellington","Somerset","50.9755","-3.2243"
"Brierley","South Yorkshire","53.5947","-1.38201"
"Hatfield","South Yorkshire","53.58","-1"
"Sheffield","South Yorkshire","53.38297","-1.4659"
"Maltby","South Yorkshire","53.41667","-1.2"
"Alton","Staffordshire","51.14931","-0.97469"
"Burntwood","Staffordshire","52.68075","-1.92759"
"Cannock","Staffordshire","52.69045","-2.03085"
"Fenton","Staffordshire","52.9977","-2.1578"
"Leek","Staffordshire","53.10434","-2.02207"
"Lichfield","Staffordshire","52.68154","-1.82549"
"Rugeley","Staffordshire","52.7593","-1.93694"
"Stafford","Staffordshire","52.80521","-2.11636"
"Stone","Staffordshire","52.9","-2.15"
"Tamworth","Staffordshire","52.63399","-1.69587"
"Stoke on Trent","Staffordshire","53","-2.183333"
"Uttoxeter","Staffordshire","52.89838","-1.86488"
"Clare","Suffolk","52.07861","0.58167"
"Hadleigh","Suffolk","52.044","0.961"
"Eye","Suffolk","52.608","-0.19209"
"Ipswich","Suffolk","52.05917","1.15545"
"Mildenhall","Suffolk","52.34461","0.5089"
"Chertsey","Surrey","51.38812","-0.50782"
"Ashford","Surrey","51.434","-0.464"
"Croydon","Surrey","51.38333","-0.1"
"Egham","Surrey","51.43158","-0.55239"
"Farnham","Surrey","51.21444","-0.80054"
"Godalming","Surrey","51.1858","-0.61489"
"Guildford","Surrey","51.23536","-0.57427"
"Southwark","Surrey","51.45","-0.083333"
"Woking","Surrey","51.31903","-0.55893"
"Gateshead","Tyne and Wear","54.96209","-1.60168"
"Newcastle upon Tyne","Tyne and Wear","54.97328","-1.61396"
"Washington","Tyne and Wear","54.9","-1.52"
"Rugby","Warwickshire","52.37092","-1.26417"
"Stratford upon Avon","Warwickshire","52.19","-1.71"
"Warwick","Warwickshire","52.28333","-1.58333"
"Birmingham","West Midlands","52.48142","-1.89983"
"Coventry","West Midlands","52.40656","-1.51217"
"Lye","West Midlands","52.459","-2.116"
"Oldbury","West Midlands","52.5","-2.01667"
"Netherton","West Midlands","52.48333","-2.08333"
"Chichester","West Sussex","50.83673","-0.78003"
"Crawley","West Sussex","51.11303","-0.18312"
"Littlehampton","West Sussex","50.81137","-0.54078"
"Bradford","West Yorkshire","53.79391","-1.75206"
"Castleford","West Yorkshire","53.72587","-1.36256"
"Halifax","West Yorkshire","53.71667","-1.85"
"Featherstone","West Yorkshire","53.7","-1.37"
"Hebden Bridge","West Yorkshire","53.74093","-2.01337"
"Leeds","West Yorkshire","53.79648","-1.54785"
"Shipley","West Yorkshire","53.83333","-1.76667"
"Wakefield","West Yorkshire","53.68331","-1.49768"
"Calne","Wiltshire","51.43879","-2.00571"
"Cricklade","Wiltshire","51.64061","-1.85738"
"Chippenham","Wiltshire","51.46","-2.12472"
"Malmesbury","Wiltshire","51.58175","-2.09708"
"Marlborough","Wiltshire","51.42027","-1.72949"
"Devizes","Wiltshire","51.35084","-1.99421"
"Mere","Wiltshire","51.09","-2.266"
"Salisbury","Wiltshire","51.06931","-1.79569"
"Swindon","Wiltshire","51.55797","-1.78116"
"Trowbridge","Wiltshire","51.31889","-2.20861"
"Westbury","Wiltshire","51.26","-2.191"
"Warminster","Wiltshire","51.20434","-2.17873"
"Wilton","Wiltshire","51.07926","-1.8621"
"Malvern","Worcestershire","52.118","-2.325"
"Worcester","Worcestershire","52.18935","-2.22001"
"Bangor","County Down","54.66","-5.67"
"Newcastle","County Down","54.21804","-5.88979"
"Warrenpoint","County Down","54.10148","-6.25731"
"Banchory","Aberdeenshire","57.05168","-2.48824"
"Huntly","Aberdeenshire","57.44741","-2.78608"
"Maud","Aberdeenshire","57.5221","-2.12687"
"Stonehaven","Aberdeenshire","56.96365","-2.21177"
"Carnoustie","Angus","56.50263","-2.7053"
"Dollar","Clackmannanshire","56.16245","-3.67135"
"Moffat","Dumfries and Galloway","55.33527","-3.44142"
"Dundee","Dundee","56.46913","-2.97489"
"North Berwick","East Lothian","56.05825","-2.7229"
"Denny","Falkirk","56.0235","-3.90812"
"Dunfermline","Fife","56.07156","-3.45887"
"Falkland","Fife","56.25255","-3.20389"
"Leven","Fife","56.195","-2.994167"
"St Andrews","Fife","56.3404","-2.7955"
"Rosyth","Fife","56.03689","-3.438"
"Dingwall","Highlands","57.59531","-4.42721"
"Grantown on Spey","Highlands","57.33051","-3.60867"
"Nairn","Highlands","57.58094","-3.87973"
"Wick","Highlands","58.454","-3.089"
"Edinburgh","Lothian","55.95206","-3.19648"
"Cullen","Moray","57.69045","-2.81818"
"North Berwick","Lothian","56.05825","-2.7229"
"Elgin","Moray","57.64947","-3.31843"
"Keith","Moray","57.53633","-2.94811"
"Perth","Perth and Kinross","56.39522","-3.43139"
"Scone","Perth and Kinross","56.41942","-3.40507"
"Earlston","Scottish Borders","55.63856","-2.67495"
"Galashiels","Scottish Borders","55.61458","-2.80695"
"Jedburgh","Scottish Borders","55.47997","-2.552"
"Selkirk","Scottish Borders","55.54738","-2.83911"
"Stirling","Stirlingshire","56.11903","-3.93682"
"Callander","Stirlingshire","56.2441","-4.21637"
"Dunblane","Stirlingshire","56.18843","-3.96417"
"Clydebank","Strathclyde","55.90137","-4.4057"
"Glasgow","Strathclyde","55.86515","-4.25763"
"Johnstone","Strathclyde","55.82906","-4.51605"
"Irvine","Strathclyde","55.6194","-4.65508"
"Aberystwyth","Ceredigion","52.41548","-4.08292"
"New Quay","Ceredigion","52.21515","-4.35887"
"Conwy","Conwy","53.28077","-3.83039"
"Towyn","Conwy","53.302","-3.54"
"Broughton","Flintshire","53.169","-2.985"
"Buckley","Flintshire","53.16667","-3.08333"
"Flint","Flintshire","53.24488","-3.13231"
"Mold","Flintshire","53.16674","-3.14143"
"Bangor","Gwynedd","53.228","-4.128"
"Newport","Gwent","51.583333","-3"
"Conwy","Gwynedd","53.28077","-3.83039"
"Chepstow","Monmouthshire","51.64087","-2.67683"
"Monmouth","Monmouthshire","51.81265","-2.71363"
"Usk","Monmouthshire","51.70347","-2.90332"
"Newport","Pembrokeshire","52.01975","-4.83607"
"Montgomery","Powys","52.5628","-3.1493"
"Newtown","Powys","52.51667","-3.3"
"Barry","South Glamorgan","51.39979","-3.2838"
"Cardiff","South Glamorgan","51.48","-3.18"
"Swansea","West Glamorgan","51.62079","-3.94323"
"Crowthorne","Berkshire","51.37027","-0.79219"
"Loughborough","Leicestershire","52.76667","-1.2"
"Settle","North Yorkshire","54.06865","-2.2772"
"Sudbury","Suffolk","52.0389","0.73117"
"Wetherby","West Yorkshire","53.92836","-1.38672"
"Caerphilly","Mid Glamorgan","51.57452","-3.218"
"Slough","Berkshire","51.50949","-0.59541"
"Ramsey","Cambridgeshire","52.45058","-0.10932"
"Newquay","Cornwall","50.41557","-5.07319"
"Stockton on Tees","County Durham","54.57","-1.32"
"Cullompton","Devon","50.8553","-3.39268"
"Bournemouth","Dorset","50.72048","-1.8795"
"Poole","Dorset","50.71429","-1.98458"
"Brighton","East Sussex","50.82838","-0.13947"
"Colchester","Essex","51.88921","0.90421"
"West Thurrock","Essex","51.47828","0.27672"
"Kingston upon Thames","Greater London","51.41259","-0.2974"
"Oldham","Greater Manchester","53.54051","-2.1183"
"Rochdale","Greater Manchester","53.61766","-2.1552"
"Fareham","Hampshire","50.85162","-1.17929"
"Gosport","Hampshire","50.79509","-1.12902"
"Hythe","Hampshire","50.869","-1.399"
"Havant","Hampshire","50.8567","-0.98559"
"Hythe","Kent","51.0716","1.084"
"Rainham","Kent","51.36323","0.60893"
"Westerham","Kent","51.26632","0.06892"
"Blackpool","Lancashire","53.81667","-3.05"
"Oadby","Leicestershire","52.60621","-1.08354"
"St Helens","Merseyside","53.45","-2.73333"
"Middlesbrough","North Yorkshire","54.57623","-1.23483"
"Redcar","North Yorkshire","54.61657","-1.05999"
"Stockton on Tees","North Yorkshire","54.57","-1.32"
"Northampton","Northamptonshire","52.25","-0.88333"
"Mansfield","Nottinghamshire","53.13333","-1.2"
"Didcot","Oxfordshire","51.60928","-1.24214"
"Barnsley","South Yorkshire","53.55","-1.48333"
"Doncaster","South Yorkshire","53.52285","-1.13116"
"Rotherham","South Yorkshire","53.43012","-1.35678"
"Newcastle under Lyme","Staffordshire","53","-2.23333"
"Epsom","Surrey","51.3305","-0.27011"
"Horley","Surrey","51.17423","-0.15919"
"Reigate","Surrey","51.23736","-0.20582"
"Kingston upon Thames","Surrey","51.41259","-0.2974"
"Sunderland","Tyne and Wear","54.90465","-1.38222"
"Dudley","West Midlands","52.5","-2.08333"
"Solihull","West Midlands","52.41426","-1.78094"
"Walsall","West Midlands","52.58528","-1.98396"
"Wolverhampton","West Midlands","52.58547","-2.12296"
"East Grinstead","West Sussex","51.12382","-0.0061"
"Prestwick","Strathclyde","55.48333","-4.61667"
"Ampthill","Bedfordshire","52.02694","-0.49567"
"Arlesey","Bedfordshire","52.00713","-0.26565"
"Leighton Buzzard","Bedfordshire","51.91722","-0.65802"
"Kempston","Bedfordshire","52.11599","-0.50044"
"Linslade","Bedfordshire","51.9243","-0.6774"
"Potton","Bedfordshire","52.12911","-0.21561"
"Bracknell","Berkshire","51.41363","-0.75054"
"Woburn","Bedfordshire","51.98865","-0.61903"
"Stotfold","Bedfordshire","52.01632","-0.23209"
"Hungerford","Berkshire","51.41513","-1.51556"
"Marlow","Buckinghamshire","51.56933","-0.77415"
"High Wycombe","Buckinghamshire","51.62907","-0.74934"
"Fenny Stratford","Buckinghamshire","51.998","-0.715"
"Olney","Buckinghamshire","52.15345","-0.70201"
"Stony Stratford","Buckinghamshire","52.05682","-0.85281"
"Wendover","Buckinghamshire","51.76194","-0.73986"
"Princes Risborough","Buckinghamshire","51.72549","-0.83144"
"Newport Pagnell","Buckinghamshire","52.08731","-0.72218"
"Winslow","Buckinghamshire","51.94284","-0.88131"
"Woburn Sands","Buckinghamshire","52.01579","-0.64982"
"Chatteris","Cambridgeshire","52.45624","0.05236"
"Fulbourn","Cambridgeshire","52.18283","0.22046"
"Godmanchester","Cambridgeshire","52.31939","-0.17509"
"Wisbech","Cambridgeshire","52.66622","0.15938"
"Chester","Cheshire","53.1905","-2.89189"
"Stratton","Cornwall","51.73394","-1.97968"
"Stanhope","County Durham","54.75","-2.01667"
"Ambleside","Cumbria","54.43261","-2.96167"
