"NO.","SEARCH TERM FILE","TITLE","CONTENT","LINK"
1,"_Algorithm_100taps.json","PDF Mental Health Clustering Tool","Updated algorithm version and added web algorithm links. M HCT Initial Assessment Algorithm - Technical Guidance v2.5 Page 2 of 17.","https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/214910/Mental-Health-clustering-support-tool-algorithm.pdf"
2,"_Algorithm_100taps.json","PDF A. Tables to summarise algorithm","A. Tables to summarise algorithm performance. The numbers in the following tables for non-biased stations/ stations with zero RMSE don't necessarily match with the numbers of homogeneous stations...","https://www.metoffice.gov.uk/hadobs/benchmarks/Tables.pdf"
3,"_Algorithm_100taps.json","PDF Split Generation of RSA Parameters with Multiple Participants","2. BASIC ALGORITHM. Central to the new method is the following capability. 3.1 Generation of Modulus. This uses the basic algorithm described above.","https://www.gchq.gov.uk/sites/default/files/document_files/rsa2.pdf"
4,"_Algorithm_100taps.json","Student-allocation algorithm | Science & Technology Facilities Council","See the algorithm details paper for more information. The values of V&P were agreed with each Department before inclusion in the algorithm.","http://webarchive.nationalarchives.gov.uk/20140702132413/http://www.stfc.ac.uk/2422.aspx"
5,"_Algorithm_100taps.json","ALGORITHM ENTERTAINMENT LTD - Overview (free company...)","Please press ENTER to search. Algorithm entertainment ltd. Company Overview for ALGORITHM ENTERTAINMENT LTD (08096332).","https://beta.companieshouse.gov.uk/company/08096332"
6,"_Algorithm_100taps.json","PDF What is the likely scale of the effect of using the current chain linking...","This is not intended as a purely theoretical question but as the start to a pragmatic approach to underpin decision making about the possible need to develop a new algorithm.","https://www.statisticsauthority.gov.uk/wp-content/uploads/2016/04/APCP-T17AOB-Arthur-Barnett-Chain-linking-algorithm-September-2017.pdf"
7,"_Algorithm_100taps.json","Algorithm Solutions - Digital Marketplace","Data Analytics Labs provide a range of Algorithm Solutions Services through our experienced and innovative team which include: data and reporting, data integration, dashboards, strategy definition...","https://www.digitalmarketplace.service.gov.uk/g-cloud/services/962676328693822"
8,"_Algorithm_100taps.json","PDF northumberland.gov.uk/WAMDocuments/C1CBC10F-C93D-46FF...","STSS options guidance algorithm.","http://www.northumberland.gov.uk/WAMDocuments/C1CBC10F-C93D-46FF-B0C5-53121FB3BB9A_1_0.pdf"
9,"_Algorithm_100taps.json","[ARCHIVED CONTENT] XML Encryption Syntax and Processing...","(Note, an EncryptedKey's EncryptionMethod is the algorithm used to encrypt these octets and does not speak about what type of octets they are.)","http://webarchive.nrscotland.gov.uk/content/20170106021747/http://w3.org/TR/2009/WD-xmlenc-core1-20090730/"
10,"_Algorithm_100taps.json","Cycle hire rebalancing algorithm? - TfL Tech Forum","Is there any info about what method, what algorithm is used for this? Is there a formal objective specified (e.g. minimising the occurrence of empty stands)?","https://techforum.tfl.gov.uk/t/cycle-hire-rebalancing-algorithm/313"
11,"_Algorithm_100taps.json","The development of MIKEY-SAKKE - NCSC Site","Dr Ian Levy explains how the protocol underpins both public safety and enterprise secure communications.","https://www.ncsc.gov.uk/articles/development-mikey-sakke"
12,"_Algorithm_100taps.json","PDF Discovery","Model algorithm The risk rating logic held within Code of Practice section 5.6 was selected a s the model algorithm for consistency to physical inspection score and its broad coverage of all business...","https://www.food.gov.uk/sites/default/files/digitaldiscoveryreport.pdf"
13,"_Algorithm_100taps.json","Gigabyte GA-8IPE1000 Pro2 LAN Driver 7.2.17.0","Support advanced data security features(TCGOpal and IEEE 1667) Optimizing TurboWrite algorithm Fixed compatibility issue with a certain program (PC doctor)...","http://www.grampiancaredata.gov.uk/index.php?option=com_content&view=post&id=3442"
14,"_Algorithm_100taps.json","Types of content | Royal Borough of Kensington and Chelsea","The algorithm that will create these links requires that every piece of content on the site is tagged with at least one Topic or Answer, and associated with a Sub-Hub or Service.","https://www.rbkc.gov.uk/rbkc-digital-services/types-content"
