Algorithm
Algorithmic
Artificial intelligence
Assessment tool
Automated analysis
Automated assessment
Automated calculation
Automated filtering
Automated grading
Automated ranking
Automated rating
Automated scoring
Automated simulation
Automated sorting
Automated system
Automatic assessment
Automatic calculation
Automatic filtering
Automatic grading
Automatic ranking
Automatic sorting
Calculated using
Calculating method
Calculating model
Cognitive solutions
Computation
Computational
Dashboard
Data model
Data score
Grading calculation
Grading equation
Grading formula
Grading matrix
Grading methodology
Grading model
Integrated data model
Integrated dataset
Integrated model
Intelligent cloud
Machine learning
Model used
Monitoring system
Numerical rating
Numerical score
Overall score
Predictive analytics
Predictive modeling
Ranking calculation
Ranking formula
Ranking matrix
Ranking method
Ranking methodology
Ranking model
Ranking system
Rating calculation
Rating equation
Rating formula
Rating matrix
Rating method
Rating methodology
Rating model
Rating system
Risk assessment
Risk based
Risk ranking
Risk score
Score based
Scoring calculation
Scoring formula
Scoring matrix
Scoring method
Scoring methodology
Scoring model
Software tool
Statistical assessment
Statistical methodology
Statistical model
Statistical software
