Domain Name,Owner
101.gov.uk,Home Office
aaib.gov.uk,Department of Transport
aasb-ni.gov.uk,Department of Finance
abertawe.gov.uk,City and County of Swansea
accessni.gov.uk,Northern Ireland Office
accountni.gov.uk,Department of Finance
accounts-commission.gov.uk,Accounts Commission
ac-decymru.gov.uk,The South Wales Trunk Road Agency
acnfp.gov.uk,Food Standards Agency
acoba.gov.uk,HM Government Cabinet Office
acurriculumforexcellencescotland.gov.uk,Education Scotland
adjudicators.gov.uk,The Adjudicator's Office
adjudicatorsoffice.gov.uk,The Adjudicator's Office
advocategeneral.gov.uk,Office of the Advocate General
aebc.gov.uk,"Department for Business, Energy & Industrial Strategy"
afbini.gov.uk,"Department of Agriculture, Environment and Rural Affairs"
agepositive.gov.uk,Department for Work and Pensions
agma.gov.uk,Association of Greater Manchester Authorities
ago.gov.uk,The Attorney General's Office
ahmlr.gov.uk,Ministry of Justice
aib.gov.uk,Accountant in Bankruptcy
alg.gov.uk,New Covent Garden Garden Market Authority
alpha.gov.uk,HM Government Cabinet Office
apc.gov.uk,Home Office
appealserviceni.gov.uk,Department for Communities
appeals-service.gov.uk,Ministry of Justice
appsi.gov.uk,HM Government Cabinet Office
armedforcescovenant.gov.uk,Ministry of Defence
arolygiaeth-gynllunio.gov.uk,Planning Inspectorate
arolygiaethgynllunio.gov.uk,Planning Inspectorate
asiantaethcynnalplant.gov.uk,Department for Work and Pensions
asntscotland.gov.uk,The Scottish Government
assembly-ni.gov.uk,Northern Ireland Assembly
assemblyni.gov.uk,Northern Ireland Assembly
assetsrecovery.gov.uk,Serious Organised Crime Agency
asylum-support-tribunal.gov.uk,Ministry of Justice
attorney-general.gov.uk,The Attorney General's Office
attorneygeneral.gov.uk,The Attorney General's Office
attorneygeneralni.gov.uk,The Executive Office
audit-commission.gov.uk,Department for Communities and Local Government
audit-scotland.gov.uk,Audit Scotland
avonandsomerset-pcc.gov.uk,Police and Crime Commissioner for Avon and Somerset
avonfire.gov.uk,Avon Fire & Rescue Service Headquarters
avonfrs.gov.uk,Avon Fire & Rescue Service Headquarters
ayrshire-vjb.gov.uk,Ayrshire Valuation Joint Board
badgerfarmparishcouncil.gov.uk,Badger Farm Parish
bagchargewales.gov.uk,Welsh Government
barnet.gov.uk,London Borough of Barnet
bcms.gov.uk,Department for Environment Food and Rural Affairs
bcomm-scotland.gov.uk,Local Government Boundary Commission
bcomm-wales.gov.uk,Welsh Government
beacons-npa.gov.uk,Brecon Beacons National Park Authority
beawarekidsni.gov.uk,Health and Safety Executive for Northern Ireland
bedsfire.gov.uk,Bedfordshire and Luton Fire and Rescue Service
beis.gov.uk,"Department for Business, Energy & Industrial Strategy"
belfaststreetsaheadni.gov.uk,Department for Communities
berr.gov.uk,"Department for Business, Energy & Industrial Strategy"
betterregulation.gov.uk,"Department for Business, Energy & Industrial Strategy"
bfi.gov.uk,Department for Work and Pensions
billingeparishcouncil.gov.uk,Parish Council of Billinge Chapel End
biodiversityscotland.gov.uk,The Scottish Government
bis.gov.uk,"Department for Business, Energy & Industrial Strategy"
blacknest.gov.uk,AWE Blacknest
blacksluiceidb.gov.uk,Black Sluice Internal Drainage Board
blog.gov.uk,HM Government Cabinet Office
blpd.gov.uk,Wiltshire Police
bluelight.gov.uk,Devon and Cornwall Constabulary
bmhldni.gov.uk,Department of Health
bonavacantia.gov.uk,Government Legal Department
boundarycommissionengland.gov.uk,HM Government Cabinet Office
brimscombeandthrupp-pc.gov.uk,Brimscombe and Thrupp Parish Counci
broads-authority.gov.uk,The Broads Authority
bromley.gov.uk,London Borough of Bromley
bucksfire.gov.uk,Buckinghamshire Fire & Rescue Service
buildingregulationsni.gov.uk,Department of Finance
businessadviceday.gov.uk,HM Revenue & Customs
business.gov.uk,HM Government Cabinet Office
businesslink.gov.uk,HM Government Cabinet Office
buyni.gov.uk,Department of Finance
buywithconfidence.gov.uk,Hampshire Trading Standards
cabinet-office.gov.uk,HM Government Cabinet Office
cabinetoffice.gov.uk,HM Government Cabinet Office
cac.gov.uk,"Department for Business, Energy & Industrial Strategy"
cafcass.gov.uk,Department of Education
cambridgeshire-pcc.gov.uk,Cambridgeshire Police Authority
cambridgeshirepeterborough-ca.gov.uk,Cambridgeshire and Peterborough Combined Authority
cambsfire.gov.uk,Cambridgeshire Fire And Rescue Services
campaign.gov.uk,Government Digital Service
canolfanbydgwaith.gov.uk,Employment Service
carestandardstribunal.gov.uk,Department of Health
caretribunalni.gov.uk,Department of Health
carrierbagchargewales.gov.uk,Welsh Government
causeway.gov.uk,Department of Justice Northern Ireland
cbhc.gov.uk,Royal Commission on the Ancient and Historical Monuments of Wales
ccrc.gov.uk,Criminal Cases Review Commission
cctmark.gov.uk,GCHQ
census.gov.uk,Office for National Statistics
centrallondonforward.gov.uk,City of London Corporation
centralscotlandfire.gov.uk,Central Scotland Fire and Rescue Service
centralscotland-vjb.gov.uk,Central Scotland Valuation Joint Board
ceop.gov.uk,Child Exploitation and Online Protection Centre
cert.gov.uk,HM Government Cabinet Office
cesg.gov.uk,GCHQ
cffdl-cymru.gov.uk,Welsh Government
cg.gov.uk,Department for International Development
charity-commission.gov.uk,Charity Commission
charitycommission.gov.uk,Charity Commission
cheshirefire.gov.uk,Cheshire Fire and Rescue Service
cheshire-pcc.gov.uk,Police and Crime Commissioner for Cheshire
childcarechoices.gov.uk,HM Revenue & Customs
childrenscommissioner.gov.uk,The Office of the Children's Commissioner
childtrustfund.gov.uk,HM Revenue & Customs
chscotland.gov.uk,Scottish Executive
chwaraedysgutyfucymru.gov.uk,Welsh Government
cica.gov.uk,Criminal Injuries Compensation Authority
cicap.gov.uk,Criminal Injuries Compensation Authority
cicreg.gov.uk,"Department for Business, Energy & Industrial Strategy"
cicregulator.gov.uk,"Department for Business, Energy & Industrial Strategy"
cityoflondon.gov.uk,City of London Corporation
civilappeals.gov.uk,Ministry of Justice
civilservice.gov.uk,HM Government Cabinet Office
cjit.gov.uk,Ministry of Justice
cjs.gov.uk,Ministry of Justice
cjsonline.gov.uk,Ministry of Justice
cjsrascotland.gov.uk,Crown Office and Procurator Fiscal Service
cjx.gov.uk,Greater Manchester Police
claimsregulation.gov.uk,Ministry of Justice
claw.gov.uk,Consortium of Local Authorities in Wales
clevelandfire.gov.uk,Cleveland Fire Brigade
clydeplan-sdpa.gov.uk,Glasgow and the Clyde Valley Strategic Development Planning Authority
cma.gov.uk,Competition and Markets Authority
cne-siar.gov.uk,Comhairle Nan Eilean Siar
coal.gov.uk,"Department for Business, Energy & Industrial Strategy"
cobham-kent-pc.gov.uk,"Cobham Parish Council, Kent"
coflein.gov.uk,Royal Commission on the Ancient and Historical Monuments of Wales
cofrestrfatir.gov.uk,HM Land Registry
coi.gov.uk,HM Government Cabinet Office
college-of-arms.gov.uk,College Of Arms
comffin-cymru.gov.uk,Welsh Government
comisiwnelusennau.gov.uk,Charity Commission
communicationswhitepaper.gov.uk,HM Government Cabinet Office
communities.gov.uk,Department for Communities and Local Government
communities-ni.gov.uk,The Executive Office
communitysafetyni.gov.uk,Community Safety Policy Unit
companies-house.gov.uk,Companies House
companieshouse.gov.uk,Companies House
compensationni.gov.uk,Department of Justice Northern Ireland
copfs.gov.uk,Crown Office and Procurator Fiscal Service
cornwall-ifca.gov.uk,Cornwall Inshore Fisheries & Conservation Authority
coronersni.gov.uk,Northern Ireland Courts and Tribunals Service
corpoflondon.gov.uk,City of London Corporation
corporationoflondon.gov.uk,City of London Corporation
cosla.gov.uk,Convention of Scottish Local Authorities
