Name,Classification
Administration of Radioactive Substances Advisory Committee,NDPB with advisory functions
Advisory Committee on Animal Feeding stuffs,NDPB with advisory functions
Advisory Committee on Business Appointments,NDPB with advisory functions
Advisory Committee on Clinical Excellence Awards,NDPB with advisory functions
Advisory Committee on Conscientious Objectors,NDPB with advisory functions
Advisory Committee on Justices of the Peace (x44),NDPB with advisory functions
Advisory Committee on Novel Foods and Processes,NDPB with advisory functions
Advisory Committee on Releases to the Environment,NDPB with advisory functions
Advisory Committee on the Microbiological Safety of Food,NDPB with advisory functions
Advisory Council on National Records and Archives,NDPB with advisory functions
Advisory Council on the Misuse of Drugs (ACMD),NDPB with advisory functions
"Advisory, Conciliation and Arbitration Service",NDPB
Agriculture and Horticulture Development Board,NDPB
Animal and Plant Health Agency,Executive Agency
Animals in Science Committee (ASC),NDPB with advisory functions
Armed Forces Pay Review Body,NDPB with advisory functions
Arts and Humanities Research Council,NDPB
Arts Council England,NDPB
Big Lottery Fund,NDPB
Biotechnology and Biological Sciences Research Council,NDPB
Board of Trustees of the Royal Botanic Gardens Kew,NDPB
Boundary Commission for England,NDPB with advisory functions
Boundary Commission for Northern Ireland,NDPB with advisory functions
Boundary Commission for Scotland,NDPB with advisory functions
Boundary Commission for Wales,NDPB with advisory functions
British Council,NDPB and  a non-financial public corporation
British Film Institute,NDPB
British Hallmarking Council,NDPB
British Library,NDPB
British Museum,NDPB
British Pharmacopoeia Commission,NDPB with advisory functions
British Transport Police Authority (BTPA),NDPB
Building Regulations Advisory Committee,NDPB with advisory functions
Care Quality Commission,NDPB
Central Arbitration Committee,Tribunal NDPB
"Centre for Environment, Fisheries and Aquaculture Science",Executive Agency
Charity Commission for England and Wales,Non Ministerial Department
Children and Family Court Advisory and Support Service,NDPB
Civil Justice Council,NDPB with advisory functions
Civil Nuclear Police Authority,NDPB
Civil Procedure Rule Committee,NDPB with advisory functions
Civil Service Commission,NDPB
Coal Authority,NDPB
Commission on Human Medicines,NDPB with advisory functions
Commissioners for the Reduction of the National Debt,Non Ministerial Department
Committee on Climate Change,NDPB
Committee on Fuel Poverty,NDPB with advisory functions
"Committee on Mutagenicity of Chemicals in Food, Consumer Products and the Environment",NDPB with advisory functions
Committee on Radioactive Waste Management,NDPB with advisory functions
Committee on Standards in Public Life,NDPB with advisory functions
"Committee on Toxicity of Chemicals in Food, Consumer Products and the Environment",NDPB with advisory functions
Commonwealth Scholarship Commission in the UK,NDPB
Companies House,Executive Agency
Competition and Markets Authority,Non Ministerial Department
Competition Appeals Tribunal,Tribunal NDPB
Competition Service,NDPB
Construction Industry Training Board,NDPB
