name,link,systems,extract,notes,inform future decision making (y/n/u),inform current decision making (y/n/u)
Argyll and Bute Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_27 ,Sentiment Metrics social media sentiment analysis,"""We use the Sentiment Metrics social media service which uses algorithms to determine user sentiment about the council based on customer social media postings. ... Both Sentiment metrics and the voice auto service form part of a wider customer engagement solution contract with Softcat PLC who subcontracted Oracle and Netcall for the relevant elements "" [More details within the FOI response]","It appears the social media sentiment analysis is a part of a system (ContactCentre 59R ACD) which groups together different streams individual may use to contact an organisation, including social media. The sentiment analysis portion is provided by Sentiment Metrics, who are now called Sentiment. - http://www.monitoring-social-media.com/sentiment-metrics-undergoes-rebrand-and-launches-sentiment",u,u
Birmingham City Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_5 ,Business Objects (SAP),,"A popular business intelligence package, sold by SAP. Has a wide array of possible functions, including analytical capacities. Marketing copy extract: ""Enable all business users to understand trends and root causes with easy-to-use BI tools for ad hoc queries, reporting, and analysis in a Web environment. ... Build impactful BI visualization, dashboards, and analytics applications to assess risk, improve efficiencies, highlight unique insights, and identify opportunities."" - https://www.sap.com/products/bi-platform.html",u,u
Birmingham City Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_5 ,Tableau,,"A popular, versatile ""visual analytics"" platform. - https://www.tableau.com/",u,u
Blaby District Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_45 ,Mosaic (Experian),,"This popular piece of ""geodemographic segmentation"" software is used to gain insights into different populations of people, down to the level of neighbourhood (postcode) and household. See page 83 of the Data Justice Lab's report, ""Data Scores as Governance"", for a closer look at Mosaic: https://datajustice.files.wordpress.com/2018/12/data-scores-as-governance-project-report2.pdf",u,u
Bournemouth Borough Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_51 ,AccsMap,"""AccsMap is used to organise and analyse road casualty data.""","Bournemouth Borough Council use AccsMap alongside a number of other applications to attempt to understand traffic flows. From AccsMap's marketing copy: ""AccsMap is a map-based road casualty analysis system developed  specifically for the UK. It is a comprehensive input, reporting, analysis and validation system for road accidents, enabling data to be viewed and interrogated on a map background."" - http://www.buchanancomputing.net/accsmap.html",u,u
Bournemouth Borough Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_51 ,Arcady,,Arcady is used to model roundabouts. More information: https://trlsoftware.com/products/junction-signal-design/junctions/arcady/,u,u
Bournemouth Borough Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_51 ,Mova,"""We use Urban Traffic Management and Control (UTMC) systems such as Scoot, Mova and Stratos to assess traffic flows and automatically adjust traffic signals to optimise traffic flow and help reduce congestion.""","An urban traffic management and control system which uses ""data analysis and auto-adaptive management of traffic light networks"". - https://www.indracompany.com/en/control-systems",y,u
Bournemouth Borough Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_51 ,Scoot,,"A fairly old urban traffic control system, in use since at least the 90s, which utilises sensors to optimise traffic flows with traffic signals. - http://www.ukroads.org/webfiles/tal04-95.pdf",u,u
Bournemouth Borough Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_51 ,SocialSignIn,,"A customer experience system, now called Orlo. Orlo carries out a degree of sentiment analysis, although it is unclear if Bournemouth Borough Council use this aspect of the system[1]. The system also has some social media monitoring capabilities[2]. - [1] https://orlo.tech/our-ecosystem/social-customer-care/  [2] https://orlo.tech/our-ecosystem/media-monitoring/",u,u
Bournemouth Borough Council,https://www.whatdotheyknow.com/alaveteli_pro/info_requests/data_analytics_usage_51 ,Stratos,,"A Siemens produced traffic management system with a wide array of capabilities, including the processing of real-time sensor information. Processing is carried out on Siemens' servers. - https://www.siemens.co.uk/traffic/en/index/productssolutionsservices/systems/traffic-management-system-stratos.htm ",u,u
