name,count,companies,systems
Monitor,90,StataCorp;Experian;Care First;Cambridge University;Microsoft;CACI;ATOS;Mastodon C;IBM;Fujitsu,HART;EYES;Mosaic;Acorn;SPSS;i2;STATA
Environment Agency,52,Experian;Cambridge University;Microsoft;CACI;ATOS;Mastodon C;IBM,HART;EYES;Mosaic;Acorn;SPSS;Taurus;i2;STATA
Health and Safety Executive,48,StataCorp;Experian;Cambridge University;Microsoft;ATOS;IBM,HART;EYES;Mosaic;Acorn;SPSS;i2;STATA
Department for Transport,44,StataCorp;Experian;Cambridge University;Microsoft;CACI;ATOS;Mastodon C;IBM,HART;EYES;Mosaic;Acorn;SPSS;i2;STATA
Office for National Statistics,38,StataCorp;Experian;Cambridge University;Microsoft;CACI;ATOS;IBM,HART;EYES;Mosaic;Acorn;SPSS;i2;STATA
The National Archives,38,Experian;Cambridge University;Microsoft;ATOS;IBM,HART;EYES;Mosaic;Acorn;SPSS;i2;STATA
Home Office,36,Experian;Cambridge University;Microsoft;CACI;ATOS;Qlik;Mastodon C;IBM,HART;EYES;Mosaic;Acorn;SPSS;i2;Qlikview;STATA
Department for Environment Food and Rural Affairs,36,Cambridge University;Microsoft;CACI;Mastodon C;IBM,HART;EYES;Mosaic;Acorn;SPSS;i2
Cabinet Office,32,Experian;Cambridge University;Microsoft;ATOS;IBM;Fujitsu,HART;EYES;Mosaic;SPSS;STATA
Department of Health,32,StataCorp;Experian;Cambridge University;Microsoft;Mastodon C;IBM,HART;EYES;Mosaic;SPSS;i2;STATA
Met Office,31,Experian;Cambridge University;Microsoft;CACI;ATOS;IBM,HART;EYES;Mosaic;SPSS;i2
HM Treasury,29,Experian;Cambridge University;Microsoft;ATOS;IBM,HART;EYES;Mosaic;Acorn;SPSS;i2
Department of the Environment,28,Care First;Cambridge University;Microsoft;ATOS;IBM,HART;EYES;Mosaic;Acorn;SPSS
Department for Communities,26,Experian;Cambridge University;Microsoft;CACI;Mastodon C;IBM,HART;EYES;Mosaic;SPSS;i2;Qlikview;STATA
Department for Education,26,Cambridge University;Microsoft;CACI;ATOS;Mastodon C;IBM,HART;EYES;Mosaic;SPSS;STATA
Department for Communities and Local Government,26,Experian;Cambridge University;Microsoft;CACI,HART;EYES;Mosaic;SPSS;i2;STATA
Scottish Executive,23,Experian;Cambridge University;Microsoft,HART;EYES;Mosaic;SPSS
National Audit Office,21,Experian;Cambridge University;Microsoft;ATOS;IBM,HART;EYES;Mosaic;Acorn;SPSS;i2
Transport for London,20,StataCorp;Experian;Cambridge University;Microsoft;CACI;ATOS;IBM;Fujitsu,HART;EYES;Mosaic;SPSS;i2;STATA
Ministry of Justice,20,Experian;Cambridge University;Microsoft;CACI;ATOS;IBM;Fujitsu,HART;EYES;Mosaic;SPSS;STATA
The Highways Agency,20,Cambridge University;Microsoft;CACI;IBM,HART;EYES;Mosaic;Acorn;SPSS;i2
Welsh Government,18,Cambridge University;Microsoft;CACI,HART;EYES;Mosaic;SPSS;STATA
Department for Work and Pensions,17,Experian;Cambridge University;Microsoft;ATOS;IBM,HART;EYES;Mosaic;Acorn;SPSS;i2
University of Edinburgh,16,Experian;Cambridge University;Microsoft;IBM,HART;EYES;Mosaic;Acorn;SPSS
Office of the Deputy Prime Minister,16,StataCorp;Cambridge University;Microsoft,HART;EYES;Acorn;i2;STATA
Greater London Authority,16,Experian;Cambridge University;Microsoft;CACI;ATOS;Fujitsu,HART;EYES;Mosaic;i2
Scottish Natural Heritage,15,Care First;Cambridge University;Microsoft,HART;EYES;Mosaic;Acorn
Ministry of Defence,15,Experian;Cambridge University;Microsoft;CACI;ATOS;Mastodon C;IBM;Fujitsu,HART;EYES;Mosaic;SPSS
Natural England,14,Cambridge University;Microsoft;CACI,HART;EYES;Mosaic;Acorn;i2
Government Digital Service,14,Cambridge University;Microsoft;Fujitsu,HART;EYES;Mosaic
Forestry Commission,13,Cambridge University;Microsoft,EYES;Mosaic;Acorn
Department of Transport,13,Cambridge University;Microsoft;ATOS;Mastodon C;IBM,EYES;Mosaic;SPSS
Department for International Development,13,Cambridge University;Microsoft;ATOS;IBM,HART;EYES;Mosaic;SPSS
Department of Energy and Climate Change,12,Experian;Cambridge University;Microsoft;CACI;IBM,EYES;Mosaic;Acorn;i2
Scottish Environment Protection Agency,12,Cambridge University;Microsoft;ATOS;IBM,HART;EYES;Mosaic;Acorn;SPSS
Office of Fair Trading,11,Experian;Cambridge University;Microsoft;ATOS;IBM,HART;EYES;Mosaic;Acorn;SPSS
ODPM,11,Experian;Cambridge University;Microsoft;IBM,HART;EYES
Department of Education,11,Cambridge University;Microsoft;ATOS;IBM,HART;EYES;Mosaic;SPSS
Crown Prosecution Service,11,Cambridge University;Microsoft;Qlik,HART;EYES;i2
Joint Nature Conservation Committee,11,Care First;Cambridge University;Microsoft;CACI,HART;EYES;Mosaic;i2
HM Revenue & Customs,10,Experian;Cambridge University;Microsoft;ATOS;Mastodon C,HART;EYES;i2
GCHQ,10,Cambridge University;Microsoft;ATOS;IBM;Fujitsu,SPSS
Local Government Association,10,Experian;Cambridge University;Microsoft;CACI,HART;EYES;Mosaic;i2
DfES,10,Cambridge University;Microsoft,HART;EYES;i2;STATA
Skills Funding Agency,9,Experian,HART;EYES;SPSS;i2
The Scottish Government,9,Experian;Cambridge University;Microsoft,HART;EYES;STATA
